,City Name,Longitude,Latitude,Temperature,Humidity,Cloud Percent,Wind Speed (mph),Max Temperature,DateTime,Country
284,Bensonville,-10.6125,6.4461,75.78,88,77,4.68,75.78,1632164749,LR
285,Venado Tuerto,-61.9688,-33.7456,70.79,43,100,16.87,70.79,1632164750,AR
286,Netanya,34.8599,32.3329,80.62,73,0,6.46,80.62,1632164539,IL
287,Xai-Xai,33.6442,-25.0519,71.06,57,4,14.5,71.06,1632164751,MZ
288,Egvekinot,-179.1667,66.3167,20.64,69,6,5.64,20.64,1632164752,RU
289,Hofn,-15.2082,64.2539,53.62,62,40,16.11,53.62,1632164753,IS
290,Curanilahue,-73.35,-37.4667,61.36,43,0,6.73,61.36,1632164753,CL
291,Ambérieu-en-Bugey,5.3432,45.9589,58.59,99,100,4.36,58.98,1632164754,FR
292,Abéché,20.8324,13.8292,78.24,70,100,10.47,78.24,1632164755,TD
293,Viedma,-62.9967,-40.8135,65.01,21,0,13.15,65.01,1632164756,AR
294,Chernyshevsk,117.0174,52.5243,46.2,89,99,2.13,46.2,1632164757,RU
295,Penzance,-5.5371,50.1186,59.68,87,4,7.63,59.68,1632164758,GB
296,Zhangjiakou,114.8794,40.81,53.51,85,100,6.53,53.51,1632164758,CN
297,Birjand,59.2211,32.8663,71.92,19,0,7.4,71.92,1632164758,IR
298,New Norfolk,147.0587,-42.7826,44.1,95,52,3.89,44.1,1632164759,AU
299,Biryukove,39.7384,47.9563,61.11,77,88,7.0,61.11,1632164760,UA
300,Esperance,121.9,-33.8667,45.48,86,33,12.33,45.48,1632164761,AU
301,Laguna,-121.4238,38.421,79.52,26,1,14.97,84.49,1632164762,US
302,Hualmay,-77.6139,-11.0964,65.97,70,13,10.56,65.97,1632164763,PE
303,Genhe,121.5167,50.7833,45.7,76,100,2.64,45.7,1632164763,CN
304,Sainte-Maxime,6.6333,43.3,70.43,58,1,4.92,72.52,1632164764,FR
305,Yurimaguas,-76.0833,-5.9,94.15,40,100,2.84,94.15,1632164765,PE
306,Pundaguitan,126.1689,6.3711,81.07,74,70,5.53,81.07,1632164766,PH
307,Katima Mulilo,24.2667,-17.5,80.11,15,0,9.93,80.11,1632164767,NA
308,Yavas,42.8491,54.4159,43.23,90,100,15.05,43.23,1632164767,RU
309,São Francisco do Sul,-48.6381,-26.2433,77.7,77,5,6.91,77.7,1632164671,BR
310,Humaitá,-63.0208,-7.5061,97.95,33,100,2.04,97.95,1632164768,BR
311,Semenivka,32.5818,52.1783,44.22,95,100,13.6,44.22,1632164769,UA
312,Waingapu,120.2641,-9.6567,77.54,78,100,5.91,77.54,1632164770,ID
313,Cururupu,-44.8683,-1.8283,84.97,59,43,6.93,84.97,1632164745,BR
314,Vanavara,102.2797,60.34,46.31,97,100,9.75,46.31,1632164771,RU
315,Kamiiso,140.65,41.8167,60.17,90,25,5.32,60.17,1632164772,JP
316,Preobrazheniye,133.9064,42.9019,60.87,79,100,7.07,60.87,1632164772,RU
317,Quatre Cocos,57.7625,-20.2078,69.04,73,39,17.27,69.04,1632164773,MU
318,Iralaya,-83.2333,15.0,87.89,67,100,6.42,87.89,1632164774,HN
319,Bagdarin,113.6,54.4333,43.72,94,47,1.66,43.72,1632164774,RU
320,Gizo Government Station,156.8419,-8.103,80.58,81,81,10.29,80.58,1632164774,SB
321,Araripe,-40.0461,-7.2125,89.44,24,100,5.17,89.44,1632164776,BR
322,Ziro,93.8333,27.6333,55.76,96,40,1.88,55.76,1632164776,IN
323,Asău,26.4,46.4333,49.12,96,100,4.43,49.12,1632164778,RO
324,Berlevåg,29.0864,70.8578,40.8,70,41,25.3,41.0,1632164778,NO
325,Ubinskoye,79.6802,55.3068,36.23,95,100,10.54,36.23,1632164779,RU
326,Ixtapa,-105.2,20.7,87.03,62,1,3.44,87.03,1632164630,MX
327,Yakeshi,120.7333,49.2833,46.62,79,100,4.68,46.62,1632164780,CN
328,Distrikt Brokopondo,-55.1667,4.75,90.46,49,100,4.43,90.46,1632164781,SR
329,Gibara,-76.1317,21.1097,94.32,59,29,16.37,94.32,1632164781,CU
330,Orlik,99.825,52.5178,36.7,80,9,4.12,36.7,1632164782,RU
331,Manama,50.5832,26.2154,91.38,52,0,5.75,91.38,1632164750,BH
332,Pravdinsk,21.0179,54.4429,51.64,88,6,4.23,51.64,1632164782,RU
333,Naliya,68.8333,23.2667,82.65,82,7,13.42,82.65,1632164783,IN
334,Camaná,-72.7111,-16.6228,63.16,76,77,8.25,63.16,1632164784,PE
335,Cayenne,-52.3333,4.9333,87.84,62,20,10.36,87.84,1632164678,GF
336,Kaitangata,169.8464,-46.2817,45.09,85,100,4.63,45.09,1632164785,NZ
337,Independence,-94.4155,39.0911,82.53,63,1,10.36,84.31,1632164785,US
338,Kargasok,80.8572,59.0556,38.62,96,100,10.96,38.62,1632164786,RU
339,Krasne,24.6134,49.9145,43.95,92,100,10.63,43.95,1632164787,UA
340,Mackay,149.2,-21.15,64.15,89,4,6.46,64.15,1632164788,AU
341,Musoma,33.8,-1.5,74.57,66,6,6.26,74.57,1632164789,TZ
342,Tamiahua,-97.45,21.2667,86.25,70,70,10.6,86.25,1632164790,MX
343,Scarborough,-0.4044,54.2797,54.97,81,100,4.43,60.62,1632164630,GB
344,Avera,-82.5271,33.194,73.74,97,100,12.46,76.51,1632164790,US
345,Samarai,150.6667,-10.6167,76.96,91,100,11.23,76.96,1632164791,PG
346,Lodwar,35.5973,3.1191,89.31,35,6,3.24,89.31,1632164792,KE
347,Vestmannaeyjar,-20.2734,63.4427,49.42,74,100,24.63,49.42,1632164590,IS
348,Airai,125.4092,-8.9266,57.15,66,87,3.94,57.15,1632164793,TL
349,Tricase,18.3553,39.9304,74.62,73,91,6.38,74.62,1632164794,IT
350,Port Hardy,-127.4199,50.6996,51.98,100,90,14.97,51.98,1632164794,CA
351,Hūn,15.9477,29.1268,90.25,17,3,10.71,90.25,1632164790,LY
352,Kiknur,47.2011,57.3034,37.8,70,100,8.88,37.8,1632164795,RU
353,Mercedes,-59.4307,-34.6515,65.39,68,96,14.85,65.39,1632164796,AR
354,Oussouye,-16.5469,12.485,84.16,76,36,6.33,84.16,1632164797,SN
355,Otavi,17.3333,-19.65,79.57,16,27,11.83,79.57,1632164798,NA
356,Lompoc,-120.4579,34.6391,80.15,41,1,6.91,88.11,1632164641,US
357,Ouargaye,0.0572,11.5033,84.16,57,48,2.84,84.16,1632164799,BF
358,Grindavik,-22.4338,63.8424,45.07,93,75,18.41,45.07,1632164799,IS
359,Luoyang,112.4536,34.6836,66.65,72,0,6.71,66.65,1632164774,CN
360,Jacareacanga,-57.7528,-6.2222,98.58,29,100,2.46,98.58,1632164800,BR
361,Vila Franca do Campo,-25.4333,37.7167,70.21,76,23,11.18,70.21,1632164801,PT
362,Nouadhibou,-17.0347,20.931,72.97,79,4,22.82,72.97,1632164802,MR
363,Dewā,81.1667,27.0333,84.2,70,40,3.38,84.2,1632164803,IN
364,Cairns,145.7667,-16.9167,66.15,77,100,10.36,66.15,1632164803,AU
365,Deputatsky,139.9,69.3,18.88,93,51,3.09,18.88,1632164804,RU
366,El Salvador,-88.9167,13.8333,84.6,58,98,0.4,84.6,1632164805,SV
367,Barillas,-91.3158,15.8036,82.74,52,89,6.38,82.74,1632164806,GT
368,Talcahuano,-73.1167,-36.7167,62.28,55,0,18.41,62.28,1632164807,CL
369,Port Said,32.2841,31.2565,81.63,71,0,11.54,81.63,1632164807,EG
370,Gouré,10.2704,13.9835,94.39,15,9,6.78,94.39,1632164807,NE
371,Ilulissat,-51.1,69.2167,27.54,61,100,3.62,27.54,1632164808,GL
372,Dingle,122.6711,10.9995,74.62,95,100,1.5,74.62,1632164809,PH
373,Tuatapere,167.6833,-46.1333,44.74,96,100,4.59,44.74,1632164809,NZ
374,Mayumba,10.6554,-3.432,74.84,83,93,7.58,74.84,1632164810,GA
375,Cabo San Lucas,-109.9124,22.8909,79.11,94,75,9.22,81.7,1632164788,MX
376,Waddān,16.139,29.1614,90.39,17,2,9.53,90.39,1632164811,LY
377,Ostrovnoy,39.5131,68.0531,37.72,78,94,9.64,37.72,1632164812,RU
378,Progreso,-89.6667,21.2833,93.31,59,7,14.54,93.31,1632164812,MX
379,Nizwá,57.5333,22.9333,85.37,50,4,6.02,85.37,1632164647,OM
380,Salalah,54.0924,17.0151,80.69,89,75,8.05,80.69,1632164812,OM
381,Talnakh,88.3972,69.4865,30.43,86,81,4.76,30.43,1632164813,RU
382,Laas,10.7002,46.6166,58.91,94,100,2.71,58.91,1632164813,IT
383,Padang,100.3543,-0.9492,76.86,90,73,3.18,76.86,1632164814,ID
384,Wanlaweyn,44.8938,2.6185,76.98,71,6,17.45,76.98,1632164815,SO
385,Poum,164.0167,-20.2333,71.56,62,98,17.47,71.56,1632164815,NC
386,Kudahuvadhoo,72.8944,2.6708,82.36,76,7,9.82,82.36,1632164816,MV
387,Hearst,-83.6665,49.6835,82.65,53,5,13.56,82.65,1632164640,CA
388,Chumikan,135.315,54.7183,41.04,72,2,6.51,41.04,1632164817,RU
389,Hilişeu-Horia,26.25,48.0333,52.45,74,100,11.48,52.45,1632164818,RO
390,Brae,-1.353,60.3964,55.31,82,100,21.25,55.31,1632164818,GB
391,Jiazi,116.067,22.8779,81.05,84,23,1.12,81.05,1632164819,CN
392,Puerto Limón,-83.0333,10.0,78.69,94,75,3.44,78.69,1632164820,CR
393,Kokopo,152.2633,-4.352,75.34,85,100,6.6,75.34,1632164821,PG
394,Trelew,-65.3051,-43.249,65.95,20,0,8.05,65.95,1632164809,AR
395,Lehi,-111.8508,40.3916,58.48,30,1,3.42,61.38,1632164711,US
396,Pringsewu,104.9744,-5.3582,73.11,97,61,3.76,73.11,1632164822,ID
397,Mondolfo,13.0979,43.7494,68.58,72,60,7.2,68.58,1632164822,IT
398,Manzhouli,117.4333,49.6,49.5,86,100,4.5,49.5,1632164823,CN
399,Chase,-119.6857,50.8165,60.44,57,100,1.79,60.44,1632164623,CA
400,Castro,-50.0119,-24.7911,86.81,39,1,5.12,86.81,1632164766,BR
401,Nyagan,65.3936,62.1406,35.74,84,100,6.53,35.74,1632164824,RU
402,Sanremo,7.7612,43.8182,66.69,69,97,6.73,66.69,1632164825,IT
403,Šalčininkai,25.3833,54.3,41.09,97,100,9.89,41.09,1632164826,LT
404,Leshukonskoye,45.7622,64.8989,33.67,89,16,2.44,33.67,1632164826,RU
405,Krasnosel'kup,82.4667,65.7,30.0,87,100,15.79,30.0,1632164827,RU
406,Mīrābād,61.8383,30.4362,84.52,17,0,13.67,84.52,1632164827,AF
407,Economy,-80.2248,40.6001,82.92,54,75,8.05,85.19,1632164828,US
408,Tynda,124.7167,55.1667,40.42,96,3,1.43,40.42,1632164828,RU
409,Pakokku,95.1,21.3333,78.82,90,100,3.27,78.82,1632164830,MM
410,Chermoz,56.1489,58.787,41.14,69,71,7.78,41.14,1632164831,RU
411,Novaya Igirma,103.9112,57.1334,45.72,94,100,10.76,45.72,1632164831,RU
412,Lālmohan,90.7419,22.3384,81.05,84,100,11.18,81.05,1632164832,BD
413,Fukuechō,128.8419,32.6881,77.11,83,7,14.18,77.11,1632164833,JP
414,Jizan,42.6667,17.3333,89.2,66,88,4.27,89.2,1632164833,SA
415,Chapais,-74.8492,49.7834,75.07,31,31,13.4,75.07,1632164565,CA
416,Bozoum,16.3799,6.3193,70.21,95,100,0.29,70.21,1632164835,CF
417,Severnoye,78.3619,56.3491,36.93,98,100,6.82,36.93,1632164836,RU
418,Alofi,-169.9187,-19.0595,75.99,76,2,6.42,75.99,1632164837,NU
419,Faya,42.4509,18.3851,72.12,28,2,5.57,72.12,1632164837,SA
420,Bilma,12.9164,18.6853,91.47,11,0,4.38,91.47,1632164838,NE
421,Taltal,-70.4833,-25.4,62.71,70,99,7.87,62.71,1632164838,CL
422,Casper,-106.3131,42.8666,55.99,47,75,18.41,55.99,1632164839,US
423,Dalbandin,64.4101,28.8947,81.23,13,0,3.09,81.23,1632164839,PK
424,Redcliffe,153.0973,-27.2307,66.15,72,0,9.22,66.15,1632164839,AU
425,Baruun-Urt,113.2792,46.6806,51.53,87,100,1.19,51.53,1632164840,MN
426,Strezhevoy,77.5889,60.7333,35.58,83,100,13.4,35.58,1632164841,RU
427,Tando Muhammad Khan,68.5358,25.123,83.53,73,5,18.45,83.53,1632164842,PK
428,Byron Bay,153.6167,-28.65,66.15,69,100,7.34,66.15,1632164619,AU
429,Shelopugino,117.5599,51.6514,44.2,88,99,2.68,44.2,1632164843,RU
430,Pombal,-37.8017,-6.7703,97.12,21,59,3.74,97.12,1632164844,BR
431,Gualeguay,-59.3097,-33.1416,69.04,63,20,16.37,69.04,1632164844,AR
432,Pontes e Lacerda,-59.3353,-15.2261,105.1,11,0,7.96,105.1,1632164632,BR
433,Bubaque,-15.8333,11.2833,83.35,78,100,7.87,83.35,1632164845,GW
434,Dicabisagan,122.4157,17.0818,78.57,87,100,1.23,78.57,1632164846,PH
435,Kavaratti,72.642,10.5669,81.7,78,97,11.41,81.7,1632164847,IN
436,Akropong,-0.0854,5.9746,74.07,84,35,4.36,74.07,1632164848,GH
437,Nome,-165.4064,64.5011,35.67,69,40,11.5,35.67,1632164849,US
438,Kousséri,15.0306,12.0769,81.81,65,100,8.61,81.81,1632164849,CM
439,Guanay,-67.8797,-15.4975,93.47,37,100,3.44,93.47,1632164850,BO
440,Doka,35.7667,13.5167,79.36,66,7,3.06,79.36,1632164851,SD
441,Mayo,-76.5119,38.8876,78.12,47,40,6.91,79.21,1632164852,US
442,Krasnovishersk,57.082,60.4078,31.84,95,10,3.96,31.84,1632164853,RU
443,Bella Vista,-94.2316,36.4295,91.42,42,1,12.66,92.32,1632164853,US
444,Khovd,91.6419,48.0056,48.83,21,0,9.51,48.83,1632164854,MN
445,Constitución,-72.4167,-35.3333,59.63,53,0,15.37,59.63,1632164855,CL
446,Virginia Beach,-75.978,36.8529,78.3,61,75,11.5,82.62,1632164632,US
447,Maragogi,-35.2225,-9.0122,78.19,69,45,8.01,78.19,1632164856,BR
448,Bucerías,-105.3333,20.75,87.78,62,1,3.44,87.78,1632164650,MX
449,Korla,86.1469,41.7597,75.69,20,71,13.31,75.69,1632164857,CN
450,Kosa,54.9977,59.9445,32.09,89,24,3.24,32.09,1632164858,RU
451,Saint-Pierre,55.4781,-21.3393,67.68,73,20,17.27,67.68,1632164858,RE
452,Londoko,131.9833,49.0333,43.79,78,100,2.42,43.79,1632164859,RU
453,Puyang,119.8861,29.4603,71.13,98,24,1.52,71.13,1632164860,CN
454,Manaus,-60.025,-3.1019,84.69,74,40,8.05,84.69,1632164807,BR
455,Slave Lake,-114.769,55.2834,56.05,53,21,10.47,56.05,1632164861,CA
456,Usinsk,57.5281,65.9939,36.21,85,100,11.41,36.21,1632164862,RU
457,Guarapari,-40.4975,-20.6667,80.49,73,14,11.39,80.49,1632164862,BR
458,Nurota,65.6886,40.5614,64.49,24,0,7.87,64.49,1632164863,UZ
459,Capão da Canoa,-50.0097,-29.7456,70.9,88,33,3.65,70.9,1632164863,BR
460,Kuala Terengganu,103.1408,5.3302,78.85,84,100,5.23,78.85,1632164864,MY
461,Sisimiut,-53.6735,66.9395,34.29,67,100,3.56,34.29,1632164864,GL
462,Colac,143.5833,-38.3333,40.77,88,58,9.08,40.77,1632164865,AU
463,Sobolevo,31.8996,54.4299,43.2,97,100,10.47,43.2,1632164865,RU
464,Atar,-13.0499,20.5169,98.87,22,0,13.53,98.87,1632164867,MR
465,Karratha,116.8463,-20.7377,79.79,19,100,27.02,79.79,1632164867,AU
466,Sorong,131.25,-0.8833,78.08,85,100,3.98,78.08,1632164868,ID
467,Santa Fe,-60.7,-31.6333,77.31,40,11,15.41,77.31,1632164605,AR
468,Assiniboia,-105.9845,49.6334,59.7,34,7,16.46,59.7,1632164869,CA
469,Coyhaique,-72.0662,-45.5752,55.35,47,20,6.91,56.01,1632164870,CL
470,Matara,80.5353,5.9485,78.15,89,67,8.25,78.15,1632164871,LK
471,‘Āhuimanu,-157.8378,21.4447,79.38,67,75,11.5,83.91,1632164871,US
472,Ust-Tsilma,52.1498,65.441,34.07,90,94,3.53,34.07,1632164871,RU
473,Bouar,15.596,5.934,66.56,94,68,2.62,66.56,1632164872,CF
474,Gătaia,21.43,45.4311,53.28,77,100,4.68,53.28,1632164872,RO
475,Kuito,16.9333,-12.3833,71.47,34,58,3.24,71.47,1632164873,AO
476,Tahe,124.7333,52.3333,44.62,93,9,1.57,44.62,1632164874,CN
477,Tigil',158.6667,57.8,46.38,96,100,9.69,46.38,1632164874,RU
478,Neuquén,-68.0591,-38.9516,67.89,28,0,9.22,67.89,1632164875,AR
479,Rio Rancho,-106.6645,35.2334,80.73,21,1,12.66,83.84,1632164876,US
480,Carutapera,-46.02,-1.195,85.24,61,24,11.03,85.24,1632164876,BR
481,Severiano Melo,-37.9578,-5.7772,96.94,23,22,7.45,96.94,1632164877,BR
482,Wattegama,81.4808,6.7989,76.12,89,85,6.15,76.12,1632164878,LK
483,Plettenberg Bay,23.3716,-34.0527,56.14,64,100,19.46,56.14,1632164879,ZA
484,Mana,-53.7767,5.6592,85.8,66,34,11.27,85.8,1632164880,GF
485,Tateyama,139.8667,34.9833,69.82,79,7,12.19,69.82,1632164880,JP
486,Amio,122.9413,9.3571,73.4,92,86,1.88,73.4,1632164881,PH
487,Bowen,148.2333,-20.0167,64.02,88,35,4.09,64.02,1632164882,AU
488,San Cristobal,-72.225,7.7669,82.58,56,92,5.59,82.58,1632164883,VE
489,Ekhabi,142.9671,53.5102,42.84,74,8,10.54,42.84,1632164884,RU
490,Omboué,9.2618,-1.5746,75.24,83,99,7.07,75.24,1632164884,GA
491,Broome,-75.833,42.2506,73.8,53,1,5.75,77.58,1632164885,US
492,Buchanan,-10.0467,5.8808,77.76,82,9,4.52,77.76,1632164886,LR
493,Sangar,127.4739,63.9242,31.33,94,9,0.72,31.33,1632164887,RU
494,Cherskiy,161.3,68.75,23.25,82,67,7.34,23.25,1632164888,RU
495,Lugoba,38.3333,-6.45,71.29,77,0,4.63,71.29,1632164889,TZ
496,Le Pradet,6.0172,43.1066,71.29,49,0,4.61,72.19,1632164889,FR
497,Itamaracá,-34.8256,-7.7478,78.85,62,68,11.34,81.28,1632164890,BR
498,Port Hedland,118.5667,-20.3167,78.85,13,100,14.97,78.85,1632164890,AU
499,Tucuruí,-49.6725,-3.7661,94.28,35,100,3.09,94.28,1632164891,BR
500,Jutaí,-68.9,-5.1833,89.1,53,90,1.59,89.1,1632164892,BR
501,Chara,118.2631,56.9064,45.19,71,19,0.65,45.19,1632164893,RU
502,Sivas Province,37.0019,39.7916,54.23,58,0,2.3,54.23,1632164894,TR
503,Lagos,3.75,6.5833,77.4,88,45,4.88,77.4,1632164786,NG
504,Watford,-0.396,51.6553,62.33,72,0,4.61,63.93,1632164895,GB
505,Bukama,25.85,-9.2,82.65,26,0,1.36,82.65,1632164895,CD
506,Khuzdar,66.6434,27.7384,82.45,44,3,6.98,82.45,1632164896,PK
507,Le Port,55.2919,-20.9373,67.96,76,50,4.59,68.0,1632164897,RE
508,Esmeraldas,-44.3139,-19.7625,86.86,20,27,3.04,86.86,1632164898,BR
509,Puerto Rico,-55.024,-26.796,101.25,22,0,5.59,101.25,1632164898,AR
510,Tamandaré,-35.1047,-8.7597,78.75,65,54,8.23,78.75,1632164899,BR
511,Olafsvik,-23.7142,64.8945,44.82,80,88,13.49,44.82,1632164900,IS
512,Ōdachō-ōda,132.5,35.1833,68.88,87,3,9.66,68.88,1632164901,JP
513,Luanda,13.2343,-8.8368,72.05,87,2,13.58,72.05,1632164772,AO
514,Torbat-e Jām,60.6225,35.244,70.45,26,0,8.34,70.45,1632164775,IR
515,Fairbanks,-147.7164,64.8378,35.56,69,90,5.75,35.56,1632164902,US
516,Mahon,4.2658,39.8885,72.16,73,75,5.75,72.16,1632164903,ES
517,Patacamaya,-67.9167,-17.2333,61.21,30,85,16.82,61.21,1632164903,BO
518,Freeport,-73.5832,40.6576,74.5,64,75,11.5,77.02,1632164857,US
519,Rodrigues Alves,-72.6509,-7.738,93.54,42,100,0.54,93.54,1632164904,BR
520,Shimoda,138.95,34.6667,69.04,80,36,14.88,69.04,1632164905,JP
521,Lewiston,-70.2148,44.1003,68.25,60,1,6.91,72.23,1632164803,US
522,Seymchan,152.4333,62.8833,28.89,96,100,9.19,28.89,1632164906,RU
523,Flin Flon,-101.865,54.7682,50.18,51,100,10.6,50.18,1632164907,CA
524,Cascais,-9.4215,38.6979,68.95,64,0,21.85,70.95,1632164907,PT
525,Riverton,-111.9391,40.5219,58.32,51,1,8.05,61.84,1632164908,US
526,Paamiut,-49.6678,61.994,36.27,76,7,32.26,36.27,1632164909,GL
527,Nālūt,10.85,30.3333,87.31,16,0,7.05,87.31,1632164909,LY
528,Mossamedes,12.1522,-15.1961,63.18,81,10,3.78,63.18,1632164910,AO
529,Wenling,121.36,28.3669,75.72,96,28,9.89,75.72,1632164759,CN
530,Kieta,155.6333,-6.2167,77.65,79,100,2.08,77.65,1632164911,PG
531,Dabou,-4.3769,5.3256,78.6,88,52,6.44,78.6,1632164912,CI
532,Villa Carlos Paz,-64.4978,-31.4241,60.08,68,88,15.97,60.08,1632164912,AR
533,Clyde River,-68.5914,70.4692,32.54,57,67,10.78,32.54,1632164912,CA
534,Banda Aceh,95.3222,5.5577,78.64,80,97,8.7,78.64,1632164913,ID
535,Barsovo,73.1667,61.1667,37.53,78,100,12.46,37.53,1632164914,RU
536,Zyryanka,150.85,65.75,27.39,95,100,16.28,27.39,1632164914,RU
537,Encruzilhada,-40.9094,-15.5314,84.78,38,77,11.14,84.78,1632164916,BR
538,Berbera,45.0143,10.4396,92.8,50,39,3.96,92.8,1632164917,SO
539,Tshikapa,20.8,-6.4167,83.46,37,100,2.57,83.46,1632164917,CD
540,Formosa,-58.1781,-26.1775,107.67,13,7,9.93,107.67,1632164918,AR
541,Saint-Augustin,-58.6502,51.226,58.41,27,0,4.7,58.41,1632164919,CA
542,Ulaanbaatar,106.8832,47.9077,39.33,93,0,0.0,39.33,1632164640,MN
543,Cap Malheureux,57.6142,-19.9842,70.45,72,33,21.34,70.45,1632164920,MU
544,Sitka,-135.33,57.0531,55.29,71,90,25.32,55.29,1632164921,US
545,Mahon,4.2658,39.8885,72.16,73,75,5.75,72.16,1632164869,ES
546,Saa,11.45,4.3667,70.09,97,100,3.4,70.09,1632164922,CM
547,Maxixe,35.3472,-23.8597,71.42,68,20,13.8,71.42,1632164922,MZ
548,Zharkent,80.0,44.1628,57.18,34,9,4.14,57.18,1632164923,KZ
549,Yar-Sale,70.8333,66.8333,36.05,90,99,12.41,36.05,1632164924,RU
550,Pangoa,-73.0,-12.1167,94.44,28,22,5.53,94.44,1632164925,PE
551,Dubbo,148.6167,-32.25,41.13,75,42,12.66,41.13,1632164652,AU
552,Verkhnyaya Inta,60.3094,65.9811,35.8,88,100,10.98,35.8,1632164926,RU
553,Iberia,-91.7507,29.9502,84.2,61,1,6.91,85.96,1632164926,US
554,Canto do Buriti,-42.9444,-8.11,100.09,17,100,5.86,100.09,1632164927,BR
555,Mildura,142.15,-34.2,37.36,87,0,8.05,37.36,1632164928,AU
556,Tautira,-149.15,-17.7333,78.82,72,28,12.93,78.82,1632164929,PF
557,Gamba,10.0,-2.65,75.02,80,91,5.39,75.02,1632164930,GA
558,Barbastro,0.1269,42.0356,63.14,64,37,5.91,64.58,1632164930,ES
559,Anshun,105.9333,26.25,61.75,91,0,1.25,61.75,1632164931,CN
560,Burnie,145.9167,-41.0667,43.23,79,74,8.81,43.23,1632164932,AU
561,Gospić,15.3747,44.5461,56.89,93,32,6.85,56.89,1632164933,HR
562,Hambantota,81.1185,6.1241,77.34,100,20,2.3,77.34,1632164934,LK
563,Namatanai,152.4333,-3.6667,77.92,83,79,4.63,77.92,1632164934,PG
564,Jati,68.2671,24.3539,83.55,76,0,17.31,83.55,1632164935,PK
565,Shingū,135.9833,33.7333,74.1,73,83,11.86,74.1,1632164936,JP
566,Singkang,102.7994,2.1006,74.59,91,100,1.48,74.59,1632164937,MY
567,San Antero,-75.7589,9.3741,83.91,75,76,7.56,83.91,1632164785,CO
568,Norashen,44.5895,39.9996,74.73,37,6,2.35,74.73,1632164938,AM
569,Clearlake,-122.6264,38.9582,77.7,10,0,10.09,77.7,1632164939,US
570,Charlton,-71.9701,42.1357,70.43,52,40,3.44,72.14,1632164939,US
571,Edd,41.6925,13.9297,88.3,68,100,7.52,88.3,1632164939,ER
